"gene","FPKM.refGTF_NoRad_CD24Pos_1","FPKM.refGTF_NoRad_CD24Pos_2","FPKM.refGTF_Rad_CD24_Neg_3","FPKM.refGTF_Rad_CD24Neg_1","FPKM.refGTF_Rad_CD24Neg_2","FPKM.refGTF_Rad_CD24Pos_1","FPKM.refGTF_Rad_CD24Pos_2","FPKM.refGTF_Rad_CD24Pos_3","norm1","norm2","norm3","norm4","norm5","norm6","norm7","norm8","meanC1","meanC2","meanC3","sdC1","sdC2","sdC3","allMean","allSD","snr2","snr3","geneLow"
"Abca1",0.285536,0.275339,3.089064,1.258367,2.220928,0.442291,0.708947,0.344148,"-0.7539800591","-0.7636809198","1.913141104","0.1715174384","1.087244627","-0.6048520397","-0.3511702999","-0.6982198507","-0.7588304894","1.057301056","-0.5514140634",0.007210367848,0.9157542701,0.1887749018,1.0780775,1.051143847,"1.967715199","1.05832661","abca1"
"Abca7",1.691807,2.503526,8.653269,6.386472,5.670608,2.09593,2.942312,2.975343,"-0.9731997006","-0.6471858178","1.822759562","0.9123370002","0.6248217367","-0.8108901965","-0.4709544771","-0.4576881072","-0.8101927592","1.119972766","-0.5798442603",0.5739720093,1.557085769,0.4984677792,4.114908375,2.489829552,"0.9057312033","0.2147892137","abca7"
"Ager",0.093848853,0.335959632,0.213949673,0.083937251,0.151429848,0.044764361,0.117595023,0.190362367,"-0.6504939718","1.968603048","0.6487282316","-0.7577153329","-0.02759641624","-1.181478372","-0.3936135332","0.3935663462","0.6590545382","-0.04552783917","-0.3938418529",0.1711981736,0.06502205913,0.07279900529,0.153980876,0.09244055381,"-2.982735091","-4.315199035","ager"
"Aif1",0,0,0.067709,0.135578,0,0,0,0.112198,"-0.686293835","-0.686293835","0.4920384286","1.673155155","-0.686293835","-0.686293835","-0.686293835","1.266275592","-0.686293835","0.4929665827","-0.03543735942",0,0.06778901574,0.0647775455,0.039435625,0.05746172119,"17.39603983","10.04756309","aif1"
"Alox15",0.00917,0.014645,0.059033,0.014704,0.080917,0,0.078123,0,"-0.6603762094","-0.5025190776","0.7772914002","-0.5008179688","1.40825861","-0.9247688849","1.327701016","-0.9247688849","-0.5814476435","0.561577347","-0.1739455847",0.003871409627,0.03373457936,0.04510433508,0.032074,0.03468326035,"30.39475949","8.320487239","alox15"
"Ano6",4.948145971,14.5845178,60.65598905,66.16649622,65.68451336,8.890571162,9.188011156,6.982353409,"-0.8581702072","-0.5232233246","1.078156941","1.269694506","1.252941452","-0.7211369906","-0.7107983901","-0.7874639858","-0.6906967659","1.200264299","-0.7397997888",6.813943866,3.051886124,1.19684945,29.63757477,28.76985077,"0.1916677124","-0.006129608021","ano6"
"Appl2",15.550733,22.289862,10.590287,12.95575,8.940487,16.28462,16.255043,17.769148,"0.1116812802","1.708811743","-1.06391269","-0.5033130908","-1.454904736","0.2856078046","0.2785982448","0.6374314442","0.9102465118","-1.007376839","0.4005458312",4.765283815,2.018233229,0.8657570996,15.07949125,4.219523173,"-0.2826886611","-0.09051624528","appl2"
"Arhgap12",6.113801916,5.561760429,11.66084236,13.11763269,13.31418931,7.669338445,7.176329211,6.460972071,"-0.8507692568","-1.020287527","0.8525894968","1.299933731","1.360291402","-0.37310251","-0.5244934369","-0.7441618995","-0.9355283918","1.17093821","-0.5472526155",0.390352279,0.9031822175,0.6075830857,8.884358304,3.256530917,"1.628458002","0.3890790827","arhgap12"
"Arhgap25",0.018088724,0,0,0,0,0,0,0,"2.474873734","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","1.060660172","-0.3535533906","-0.3535533906",0.0127906594,0,0,0.0022610905,0.006395329702,"-110.5661184","-110.5661184","arhgap25"
"Becn1",19.876055,30.858088,63.10849,68.274948,64.288979,29.865864,31.875599,33.008011,"-1.187435095","-0.6146929088","1.067251203","1.336695709","1.12881684","-0.6664400255","-0.5616270079","-0.5025687148","-0.9010640019","1.177587917","-0.5768785827",7.765470006,2.707206168,1.591355789,42.64450425,19.17447897,"0.1984833566","0.03464694398","becn1"
"Bin2",0.011191,0.077215,0.157268,0.048411,0.130743,0,0.089129,0.018746,"-0.9647158063","0.1850673971","1.579160375","-0.3165434625","1.117237446","-1.159602875","0.3925452398","-0.8331483142","-0.3898242046","0.7932847862","-0.5334019832",0.04668601812,0.05676263486,0.04699141384,0.066587875,0.05742299923,"11.43667855","-1.532682692","bin2"
"C3",0.04324,0.682213,2.485997,1.527653,2.061433,0.456898,0.606374,0.62027,"-1.180908632","-0.4391498888","1.654792348","0.5422883128","1.16193262","-0.7007092524","-0.5271884152","-0.5110570928","-0.8100292605","1.119671094","-0.5796515868",0.4518221413,0.4802080974,0.09057831214,1.06050975,0.8614296842,"2.070426767","0.4247372439","c3"
"Cd300a",0.150435,0.257277,0.225873,0.234343,0.322189,0.260139,0.220548,0.369554,"-1.570324751","0.03350889783","-0.4379048898","-0.3107594694","1.007920176","0.07647114022","-0.5178398795","1.718928775","-0.7684079263","0.08641860561","0.4258533453",0.07554870272,0.05333140487,0.07718147181,0.25504475,0.06661663453,"6.63272671","7.819419282","cd300a"
"Cd36",0.546221846,1.847135278,13.2588493,16.48459488,17.6730851,0.964931268,0.817437622,0.653439761,"-0.7685682059","-0.6014962087","0.8640723726","1.278344178","1.430978035","-0.7147947436","-0.7337368633","-0.7547985647","-0.6850322073","1.191131529","-0.7344433905",0.9198847095,2.284127158,0.1558186087,6.530711882,7.786543849,"0.585567037","-0.0459338392","cd36"
"Clcn3",17.03942039,23.44962352,27.5728878,28.32005684,27.27415511,23.93476673,24.05898333,23.20709851,"-2.034971048","-0.2523656808","0.894267723","1.102047026","0.8111935231","-0.1174528127","-0.08290957383","-0.3198091574","-1.143668364","0.9358360908","-0.1733905146",4.532698102,0.5387351271,0.4601881044,24.35712403,3.595974325,"0.4100427554","0.1943320576","clcn3"
"Clec7a",0.019508,0.051481,0.04725,0,0,0,0,0,"0.2109707105","1.63761796","1.448829153","-0.6594835648","-0.6594835648","-0.6594835648","-0.6594835648","-0.6594835648","0.9242943352","0.04328734128","-0.6594835648",0.02260832511,0.02727980022,0,0.014779875,0.02241128633,"-17.65965323","-70.05286291","clec7a"
"Elmo1",2.350002433,2.995543201,5.941166298,4.247092253,3.765385125,3.455842285,3.406592365,3.329308663,"-1.255813495","-0.649183325","2.118889471","0.526927389","0.07425562724","-0.2166292166","-0.2629105497","-0.3355359013","-0.9524984098","0.9066908291","-0.2716918892",0.4564662546,1.142800095,0.06378228948,3.686366578,1.064142208,"1.162526329","1.30861783","elmo1"
"F2rl1",3.48819,7.234623,24.813494,17.403101,15.457266,6.112803,7.334369,6.534927,"-1.026601635","-0.5178022498","1.869566951","0.8631687576","0.5989068179","-0.6701555219","-0.5042558435","-0.6128272761","-0.7722019423","1.110547509","-0.5957462138",2.64912818,4.936922129,0.6204191695,11.04734663,7.363281304,"0.2481857323","0.05396946723","f2rl1"
"Fcer1g",0.167986,0.498396,0.192802,0.42603,0.659853,0.212287,0.053917,0.167818,"-0.6257656829","0.9720630617","-0.5057580617","0.6221085357","1.752852492","-0.4115306076","-1.177391624","-0.6265781136","0.1731486894","0.6230676553","-0.7385001149",0.2336351516,0.2335255632,0.08168229782,0.297386125,0.2067868669,"0.9630924684","-2.891209497","fcer1g"
"Fcgr1",0,0,0,0,0.011009,0,0.018151,0,"-0.5196784746","-0.5196784746","-0.5196784746","-0.5196784746","1.049907349","-0.5196784746","2.068163499","-0.5196784746","-0.5196784746","0.003516799919","0.3429355165",0,0.006356049114,0.01047948474,0.003645,0.007013952238,"82.31454244","82.31454244","fcgr1"
"Fcgr2b",0,0.03047,0.030944,0,0,0,0,0,"-0.5400402788","1.603448475","1.636793197","-0.5400402788","-0.5400402788","-0.5400402788","-0.5400402788","-0.5400402788","0.5317040984","0.1855708799","-0.5400402788",0.02154554362,0.01786552673,0,0.00767675,0.01421514339,"-8.78263938","-49.74320425","fcgr2b"
"Fcgr3",0.049083,0.026015,0.150047,0,0.084966,0.055467,0,0,"0.06466470306","-0.3759128263","1.992984006","-0.8727753383","0.7499969159","0.1865932165","-0.8727753383","-0.8727753383","-0.1556240616","0.6234018611","-0.5196524867",0.01631153923,0.07524278473,0.03202388738,0.04569725,0.05235854864,"8.508892743","-7.531296414","fcgr3"
"Gata2",0,0,0,0,0,0,0.028933,0,"-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","2.474873734","-0.3535533906","-0.3535533906","-0.3535533906","0.589255651",0,0,0.01670447534,0.003616625,0.01022936025,"#DIV/0!","56.44050606","gata2"
"Gsn",1.782671658,6.8337316,75.158576,33.64305935,24.24462628,4.897677009,5.421778153,10.67754051,"-0.7503151834","-0.5460062504","2.21764657","0.5383968668","0.1582422351","-0.6243171895","-0.6031179667","-0.3905290821","-0.6481607169","0.9714285574","-0.5393214128",3.571638737,27.0927387,3.196470503,20.33245757,24.72265832,"0.05281663642","0.01608119791","gsn"
"Gulp1",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","gulp1"
"Igll1",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","igll1"
"Itga2",3.202068,3.460431,5.092707,8.836915,6.795876,4.114626,5.00241,5.393981,"-1.09812115","-0.9587251615","-0.07805445351","1.942078361","0.8408655386","-0.6057637911","-0.1267728828","0.08449353891","-1.028423156","0.9016298154","-0.2160143783",0.1826902293,1.874643006,0.6555198312,5.23737675,1.853446453,"0.938133375","0.9692185951","itga2"
"Itgb2",0.011679,0.065013,0.008335,0.133556,0.095671,0.017423,0.024738,0,"-0.6779244439","0.4219617781","-0.746886448","1.835497259","1.054209721","-0.5594681785","-0.4086137945","-0.918775893","-0.1279813329","0.7142735106","-0.628952622",0.03771283307,0.06421727307,0.01270851944,0.044551875,0.04849047013,"8.263062557","-9.935697164","itgb2"
"Lbp",0.105028,0.028002,0.31172,0.434274,0.317042,0.100867,0.209401,0.171371,"-0.7692206802","-1.335203594","0.7495410429","1.650061258","0.7886468133","-0.7997954849","-0.002293477749","-0.2817358767","-1.052212137","1.062749705","-0.3612749464",0.05446560693,0.06927138469,0.05507074855,0.209713125,0.1360924475,"17.09239746","6.307834397","lbp"
"Marco",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","marco"
"Megf10",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","megf10"
"Mfge8",3.966682776,9.147682316,22.6414287,14.71958322,12.77931896,10.87030358,12.27320158,10.49693212,"-1.533741109","-0.5581599919","1.982709598","0.4910277699","0.1256764201","-0.2337907722","0.03037462448","-0.3040965392","-1.045950551","0.8664712627","-0.1691708956",3.663519908,5.224644641,0.9365417093,12.11189166,5.310680421,"0.2151649874","0.1906017197","mfge8"
"Msr1",0,0,0,0.023951039,0,0,0,0,"-0.3535533906","-0.3535533906","-0.3535533906","2.474873734","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","0.589255651","-0.3535533906",0,0.01382813881,0,0.002993879875,0.008467971047,"68.18047275","#DIV/0!","msr1"
"Myh9",22.421432,39.738541,58.923206,65.320969,38.997093,37.904972,46.400681,46.656029,"-1.666506703","-0.3620787003","1.083024766","1.564942459","-0.4179289888","-0.5001940606","0.1397534459","0.1589877812","-1.014292702","0.7433460789","-0.06715094449",12.2450452,13.72909197,4.980349262,44.54536538,13.2756342,"0.06766880334","0.05498519985","myh9"
"Nckap1l",0.023557,0.052266,0.015206,0.025183,0.018289,0,0,0,"0.3782698757","1.988463535","-0.09011032736","0.4694668833","0.08280503201","-0.9429649996","-0.9429649996","-0.9429649996","1.183366705","0.1540538626","-0.9429649996",0.02030032858,0.005108369831,0,0.016812625,0.01782953239,"-40.51025464","-104.7437088","nckap1l"
"Pparg",0.960937597,1.920466632,9.291538168,4.781577648,4.829468665,1.518882794,1.871464757,1.887246449,"-0.8642732228","-0.5218383124","2.108735781","0.4992295852","0.516320841","-0.6651547943","-0.539326009","-0.5336938685","-0.6930557676","1.041428736","-0.5793915573",0.6784894874,2.590112665,0.2082686105,3.382697839,2.802077142,"0.530650236","0.1281795008","pparg"
"Rab31",0.159123,0.694944,6.671958,2.060005,2.130502,0.402332,0.503873,1.251437,"-0.7398802863","-0.4881939647","2.319334422","0.1530037149","0.1861176291","-0.6256399363","-0.5779440065","-0.2267975726","-0.6140371255","0.8861519221","-0.4767938385",0.3788826626,2.642596668,0.4637064103,1.73427175,2.128923799,"0.4965081284","0.1628828232","rab31"
"Rac1",39.55722,67.742775,222.018723,158.443329,157.929626,59.801575,66.247162,79.442917,"-1.034826238","-0.5984580724","1.790038887","0.8057659838","0.7978128448","-0.7214035626","-0.6216131212","-0.4173167217","-0.8166421552","1.131205905","-0.5867778018",19.93019707,36.85445918,10.01212479,106.3979159,64.59122645,"0.03430236598","0.007676904763","rac1"
"Rac3",0.362958,0.921061,1.783877,1.251929,1.020931,0.87169,1.082866,1.439233,"-1.732273389","-0.4058364747","1.644808286","0.380533656","-0.1684766062","-0.5231759567","-0.02127641146","0.8256968963","-1.069054932","0.618955112","0.09374817604",0.3946384159,0.3912406228,0.2868500766,1.091818125,0.4207535193,"2.14792603","1.706269616","rac3"
"Rhobtb1",1.886396432,1.929608568,0.463165011,0.608905676,0.331867691,1.051147627,1.449317469,1.090986985,"1.271505123","1.341500552","-1.033858691","-0.7977865735","-1.246535341","-0.0814388483","0.5635204549","-0.01690667669","1.306502838","-1.026060202","0.15505831",0.0305555944,0.1385817285,0.2192894333,1.101424432,0.6173565371,"-13.79094218","-4.608634954","rhobtb1"
"Rhobtb2",1.031395,1.453281,1.865039,3.043936,2.506876,1.721012,1.831416,1.430455,"-1.293192081","-0.635099115","0.007195352132","1.846137207","1.008386231","-0.2174699737","-0.04525260727","-0.6707050134","-0.9641455981","0.9539062635","-0.3111425314",0.2983184515,0.5902240132,0.2071159647,1.86042625,0.641073559,"2.158649629","1.291963993","rhobtb2"
"Sh3bp1",0.186642,0.382582,1.900086,1.875853,1.648225,0.160468,0.452558,0.29231,"-0.8528528935","-0.6055414137","1.309821248","1.279234848","0.99192742","-0.8858891836","-0.5172191308","-0.7194808947","-0.7291971536","1.193661172","-0.7075297364",0.1385505027,0.1389458576,0.1462750278,0.8623405,0.7922802456,"6.929310078","0.0760725951","sh3bp1"
"Siglece",0,0,0.033494,0.042068,0,0,0,0,"-0.5354849028","-0.5354849028","1.363409392","1.849500025","-0.5354849028","-0.5354849028","-0.5354849028","-0.5354849028","-0.5354849028","0.8924748381","-0.5354849028",0,0.02223015271,0,0.00944525,0.01763868589,"64.23526459","#DIV/0!","siglece"
"Sirpa",3.394275781,3.343864886,0.042171915,0.295099312,0.08069105,2.213379876,2.865051102,2.745779247,"1.026169125","0.9921750006","-1.234291333","-1.063732066","-1.208316308","0.2298428161","0.6692913226","0.5888614426","1.009172063","-1.168779902","0.4959985271",0.0356458857,0.1362760035,0.3469750837,1.872539146,1.482929664,"-12.6682645","-1.341205989","sirpa"
"Stap1",0.029423,0,0,0,0,0,0,0,"2.474873734","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","-0.3535533906","1.060660172","-0.3535533906","-0.3535533906",0.02080520282,0,0,0.003677875,0.01040260141,"-67.97403392","-67.97403392","stap1"
"Thbs1",5.42153,14.682539,0.474577,0.769119,0.514434,9.268285,13.134734,11.778705,"-0.2647316709","1.283086333","-1.091529584","-1.042301967","-1.084868174","0.3781871133","1.02439741","0.7977605393","0.5091773313","-1.072899908","0.7334483543",6.548522265,0.159795713,1.961736097,7.005490375,5.983267396,"-0.2358381408","0.02635302167","thbs1"
"Trem2",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","trem2"
"Treml4",0,0,0.041194,0.027031,0,0.029056,0,0,"-0.7039241801","-0.7039241801","1.680710244","0.8608438229","-0.7039241801","0.9780668338","-0.7039241801","-0.7039241801","-0.7039241801","0.6125432956","-0.1432605088",0,0.02092929034,0.01677548942,0.012160125,0.0172747653,"62.9007221","33.42159845","treml4"
"Vamp7",0,0,0,0,0,0,0,0,"#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!",0,0,0,0,0,"#DIV/0!","#DIV/0!","vamp7"
"Xkr4",0.02134,0.054786,0.039605,0,0.031477,0.048833,0.029074,0.084956,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr4"
"Xkr6",0.026349,0,0.018931,0.01853,0.035576,0.029361,0.018645,0.004893,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr6"
"Xkr7",0.016331,0.021162,0.135339,0.035321,0.031751,0.021504,0.082766,0.05459,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr7"
"Xkr8",0.250443,0.143057,1.033228,0.944479,0.645338,0.300061,0.203602,0.192707,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr8"
"Xkr9",3.011795,6.455537,25.402622,17.584003,24.7519,4.88172,4.391529,4.952644,"#DIV/0!","#DIV/0!","","","","","","","","","",NA,NA,NA,NA,NA,"#DIV/0!","#DIV/0!","xkr9"
